,school,sex,age,address,Pstatus,guardian,traveltime,studytime,failures,paid,internet,health,absences,G1,G2,G3,extras,aprovados
0,GP,F,18,U,A,mother,2,2,0,no,no,3,6,5,6,6,92,0
1,GP,F,17,U,T,father,1,2,0,no,yes,3,4,5,5,6,94,0
2,GP,F,15,U,T,mother,1,2,3,yes,yes,3,10,7,8,10,86,1
3,GP,F,15,U,T,mother,1,3,0,yes,yes,5,2,15,14,15,97,1
4,GP,F,16,U,T,father,1,2,0,yes,no,5,4,6,10,10,94,1
5,GP,M,16,U,T,mother,1,2,0,yes,yes,5,10,15,15,15,86,1
6,GP,M,16,U,T,mother,1,2,0,no,yes,3,0,12,12,11,100,1
7,GP,F,17,U,A,mother,2,2,0,no,no,1,6,6,5,6,92,0
8,GP,M,15,U,A,mother,1,2,0,yes,yes,1,0,16,18,19,100,1
9,GP,M,15,U,T,mother,1,2,0,yes,yes,5,0,14,15,15,100,1
10,GP,F,15,U,T,mother,1,2,0,yes,yes,2,0,10,8,9,100,0
11,GP,F,15,U,T,father,3,3,0,no,yes,4,4,10,12,12,94,1
12,GP,M,15,U,T,father,1,1,0,yes,yes,5,2,14,14,14,97,1
13,GP,M,15,U,T,mother,2,2,0,yes,yes,3,2,10,10,11,97,1
14,GP,M,15,U,A,other,1,3,0,no,yes,3,0,14,16,16,100,1
15,GP,F,16,U,T,mother,1,1,0,no,yes,2,4,14,14,14,94,1
16,GP,F,16,U,T,mother,1,3,0,yes,yes,2,6,13,14,14,92,1
17,GP,F,16,U,T,mother,3,2,0,no,no,4,4,8,10,10,94,1
18,GP,M,17,U,T,mother,1,1,3,no,yes,5,16,6,5,5,78,0
19,GP,M,16,U,T,father,1,1,0,yes,yes,5,4,8,10,10,94,1
20,GP,M,15,U,T,mother,1,2,0,no,yes,1,0,13,14,15,100,1
21,GP,M,15,U,T,father,1,1,0,yes,yes,5,0,12,15,15,100,1
22,GP,M,16,U,T,mother,1,2,0,no,yes,5,2,15,15,16,97,1
23,GP,M,16,U,T,mother,2,2,0,no,yes,5,0,13,13,12,100,1
24,GP,F,15,R,T,mother,1,3,0,yes,yes,5,2,10,9,8,97,0
25,GP,F,16,U,T,mother,1,1,2,yes,yes,5,14,6,9,8,81,0
26,GP,M,15,U,T,mother,1,1,0,yes,yes,5,2,12,12,11,97,1
27,GP,M,15,U,T,mother,1,1,0,yes,yes,1,4,15,16,15,94,1
28,GP,M,16,U,A,mother,1,2,0,no,yes,5,4,11,11,11,94,1
29,GP,M,16,U,T,mother,1,2,0,yes,yes,5,16,10,12,11,78,0
30,GP,M,15,U,T,mother,1,2,0,yes,yes,5,0,9,11,12,100,1
31,GP,M,15,U,T,mother,2,2,0,no,yes,5,0,17,16,17,100,1
32,GP,M,15,R,T,mother,1,2,0,no,yes,5,0,17,16,16,100,1
33,GP,M,15,U,T,mother,1,2,0,no,yes,2,0,8,10,12,100,1
34,GP,M,16,U,T,mother,1,1,0,yes,yes,5,0,12,14,15,100,1
35,GP,F,15,U,T,father,2,1,0,no,no,5,0,8,7,6,100,0
36,GP,M,15,U,T,mother,1,3,0,no,yes,4,2,15,16,18,97,1
37,GP,M,16,R,A,mother,2,3,0,no,yes,5,7,15,16,15,90,1
38,GP,F,15,R,T,mother,1,3,0,yes,yes,5,2,12,12,11,97,1
39,GP,F,15,R,T,mother,1,1,0,yes,no,2,8,14,13,13,89,1
40,GP,F,16,U,T,mother,2,2,1,no,yes,3,25,7,10,11,66,0
41,GP,M,15,U,T,other,1,1,0,no,yes,5,8,12,12,12,89,1
42,GP,M,15,U,T,father,1,2,0,no,yes,5,2,19,18,18,97,1
43,GP,M,15,U,T,father,1,1,0,no,yes,1,0,8,8,11,100,1
44,GP,F,16,U,T,father,2,2,1,no,yes,5,14,10,10,9,81,0
45,GP,F,15,U,A,mother,1,2,0,yes,yes,5,8,8,8,6,89,0
46,GP,F,16,U,A,mother,1,2,0,no,yes,3,12,11,12,11,84,1
47,GP,M,16,U,T,mother,1,4,0,no,yes,2,4,19,19,20,94,1
48,GP,M,15,U,T,mother,1,2,0,yes,no,5,2,15,15,14,97,1
49,GP,F,15,U,T,father,1,2,1,no,yes,3,2,7,7,7,97,0
50,GP,F,16,U,T,mother,3,2,0,yes,yes,4,2,12,13,13,97,1
51,GP,F,15,U,T,mother,1,2,0,yes,yes,5,2,11,13,13,97,1
52,GP,M,15,U,A,father,2,1,1,no,no,5,6,11,11,10,92,1
53,GP,F,15,U,T,mother,1,1,0,yes,yes,5,0,8,10,11,100,1
54,GP,F,15,U,A,mother,1,1,0,yes,yes,1,6,10,13,13,92,1
55,GP,F,16,U,A,mother,1,2,0,yes,yes,2,8,8,9,10,89,1
56,GP,F,15,U,A,mother,1,2,0,yes,yes,1,0,14,15,15,100,1
57,GP,M,15,U,T,mother,1,2,0,no,no,5,4,14,15,15,94,1
58,GP,M,15,U,T,father,1,2,0,no,yes,5,2,9,10,9,97,0
59,GP,F,16,U,T,mother,1,2,0,no,yes,5,2,15,16,16,97,1
60,GP,F,16,R,T,mother,1,2,0,no,no,4,6,10,11,11,92,1
61,GP,F,16,U,T,father,4,1,0,no,yes,5,6,10,8,11,92,1
62,GP,F,16,U,T,father,1,2,0,no,yes,1,4,8,10,9,94,0
63,GP,F,16,U,T,mother,1,3,0,yes,yes,4,2,10,9,9,97,0
64,GP,F,15,U,T,father,1,2,0,no,yes,2,0,10,10,10,100,1
65,GP,F,16,U,T,mother,3,2,0,no,yes,1,2,16,15,15,97,1
66,GP,M,15,U,A,mother,1,4,0,no,yes,3,4,13,13,12,94,1
67,GP,F,16,U,T,mother,1,4,0,yes,yes,5,4,7,7,6,94,0
68,GP,F,15,R,T,mother,2,2,0,yes,yes,4,2,8,9,8,97,0
69,GP,F,15,R,T,father,2,4,0,no,yes,3,12,16,16,16,84,1
70,GP,M,16,U,T,father,2,4,0,yes,yes,5,0,13,15,15,100,1
71,GP,M,15,U,T,mother,1,4,0,no,yes,3,0,10,10,10,100,1
72,GP,F,15,R,T,mother,1,2,2,no,yes,5,2,8,6,5,97,0
73,GP,M,16,U,T,mother,1,1,0,no,no,5,2,12,12,14,97,1
74,GP,F,16,U,T,mother,1,2,0,yes,yes,5,54,11,12,11,28,0
75,GP,M,15,U,T,mother,1,2,0,yes,yes,5,6,9,9,10,92,1
76,GP,M,15,U,T,mother,2,4,0,no,yes,1,8,11,11,10,89,1
77,GP,F,16,U,T,mother,1,4,0,yes,yes,3,0,11,11,11,100,1
78,GP,M,17,U,T,mother,2,1,3,no,yes,3,2,8,8,10,97,1
79,GP,F,16,U,T,mother,1,2,0,no,yes,3,12,5,5,5,84,0
80,GP,M,15,U,T,father,1,1,0,yes,yes,3,2,10,12,12,97,1
81,GP,M,15,U,T,mother,1,3,0,yes,yes,5,4,11,10,11,94,1
82,GP,F,15,U,T,mother,1,2,0,yes,yes,5,10,7,6,6,86,0
83,GP,M,15,U,T,mother,2,2,0,yes,yes,4,4,15,15,15,94,1
84,GP,F,15,U,T,father,1,2,0,no,yes,4,2,9,10,10,97,1
85,GP,F,15,U,T,father,2,2,2,yes,yes,5,6,7,9,8,92,0
86,GP,F,16,U,T,mother,1,2,0,no,no,2,4,8,7,6,94,0
87,GP,F,15,U,T,mother,1,3,0,no,yes,1,4,13,14,14,94,1
88,GP,M,16,U,T,father,2,2,1,yes,yes,3,12,11,10,10,84,1
89,GP,M,16,U,A,mother,1,2,0,no,no,5,18,8,6,7,76,0
90,GP,F,16,U,T,mother,1,3,0,yes,yes,4,0,7,7,8,100,0
91,GP,F,15,U,T,mother,1,1,0,yes,yes,1,4,16,17,18,94,1
92,GP,F,16,U,T,father,1,2,0,no,no,2,4,7,6,6,94,0
93,GP,F,16,U,T,mother,2,2,0,yes,yes,1,0,11,10,10,100,1
94,GP,M,15,U,T,mother,1,4,0,no,yes,4,6,11,13,14,92,1
95,GP,F,15,R,T,mother,2,4,1,yes,yes,1,2,7,10,10,97,1
96,GP,M,16,R,T,mother,2,1,0,no,yes,4,2,11,15,15,97,1
97,GP,F,16,U,T,mother,1,2,0,yes,no,5,2,8,9,10,97,1
98,GP,F,16,U,T,mother,1,1,0,no,yes,1,6,11,14,14,92,1
99,GP,F,16,U,T,mother,1,3,0,yes,yes,3,0,7,9,8,100,0
100,GP,M,16,U,T,mother,1,1,0,yes,yes,4,14,7,7,5,81,0
101,GP,M,16,U,T,father,1,3,0,no,yes,4,0,16,17,17,100,1
102,GP,M,15,U,T,mother,1,1,0,no,yes,5,4,10,13,14,94,1
103,GP,F,15,U,T,mother,2,2,0,yes,yes,2,26,7,6,6,65,0
104,GP,M,15,U,A,mother,1,2,0,yes,yes,1,0,16,18,18,100,1
105,GP,F,15,U,A,father,1,4,0,no,no,4,10,10,11,11,86,1
106,GP,F,15,U,T,mother,1,4,0,yes,yes,3,8,7,8,8,89,0
107,GP,M,16,U,T,father,1,3,0,no,yes,5,2,16,18,18,97,1
108,GP,M,15,R,T,father,4,4,0,yes,yes,1,6,10,13,13,92,1
109,GP,F,16,U,T,mother,1,3,0,yes,yes,4,4,14,15,16,94,1
110,GP,M,15,U,A,mother,1,1,0,no,yes,4,6,18,19,19,92,1
