,school,sex,age,address,Pstatus,guardian,traveltime,studytime,failures,paid,internet,health,absences,G1,G2,G3,extras,aprovados
0,GP,F,18,U,A,mother,2,2,0,no,no,3,4,0,11,11,87,1
1,GP,F,17,U,T,father,1,2,0,no,yes,3,2,9,11,11,93,1
2,GP,F,15,U,T,mother,1,2,0,no,yes,3,6,12,13,12,81,1
3,GP,F,15,U,T,mother,1,3,0,no,yes,5,0,14,14,14,100,1
4,GP,F,16,U,T,father,1,2,0,no,no,5,0,11,13,13,100,1
5,GP,M,16,U,T,mother,1,2,0,no,yes,5,6,12,12,13,81,1
6,GP,M,16,U,T,mother,1,2,0,no,yes,3,0,13,12,13,100,1
7,GP,F,17,U,A,mother,2,2,0,no,no,1,2,10,13,13,93,1
8,GP,M,15,U,A,mother,1,2,0,no,yes,1,0,15,16,17,100,1
9,GP,M,15,U,T,mother,1,2,0,no,yes,5,0,12,12,13,100,1
10,GP,F,15,U,T,mother,1,2,0,no,yes,2,2,14,14,14,93,1
11,GP,F,15,U,T,father,3,3,0,no,yes,4,0,10,12,13,100,1
12,GP,M,15,U,T,father,1,1,0,no,yes,5,0,12,13,12,100,1
13,GP,M,15,U,T,mother,2,2,0,no,yes,3,0,12,12,13,100,1
14,GP,M,15,U,A,other,1,3,0,no,yes,3,0,14,14,15,100,1
15,GP,F,16,U,T,mother,1,1,0,no,yes,2,6,17,17,17,81,1
16,GP,F,16,U,T,mother,1,3,0,no,yes,2,10,13,13,14,68,0
17,GP,F,16,U,T,mother,3,2,0,no,no,4,2,13,14,14,93,1
18,GP,M,17,U,T,mother,1,1,3,yes,yes,5,2,8,8,7,93,0
19,GP,M,16,U,T,father,1,1,0,no,yes,5,6,12,12,12,81,1
20,GP,M,15,U,T,mother,1,2,0,no,yes,1,0,12,13,14,100,1
21,GP,M,15,U,T,father,1,1,0,yes,yes,5,0,11,12,12,100,1
22,GP,M,16,U,T,mother,1,2,0,no,yes,5,0,12,13,14,100,1
23,GP,M,16,U,T,mother,2,2,0,no,yes,5,2,10,10,10,93,1
24,GP,F,15,R,T,mother,1,3,0,no,yes,5,2,10,11,10,93,1
25,GP,F,16,U,T,mother,1,1,0,no,yes,5,6,10,11,12,81,1
26,GP,M,15,U,T,mother,1,1,0,no,yes,5,8,11,12,12,75,0
27,GP,M,15,U,T,mother,1,1,0,no,yes,1,0,11,11,11,100,1
28,GP,M,16,U,A,mother,1,2,0,yes,yes,5,2,12,12,13,93,1
29,GP,M,16,U,T,mother,1,2,0,yes,yes,5,4,12,11,12,87,1
30,GP,M,15,U,T,mother,1,2,0,yes,yes,5,0,10,11,11,100,1
31,GP,M,15,U,T,mother,2,2,0,no,yes,5,2,15,15,15,93,1
32,GP,M,15,R,T,mother,1,2,0,no,yes,5,0,13,14,15,100,1
33,GP,M,15,U,T,mother,1,2,0,no,yes,2,0,13,12,12,100,1
34,GP,M,16,U,T,mother,1,1,0,no,yes,5,4,12,12,12,87,1
35,GP,F,15,U,T,father,2,1,0,no,no,5,4,11,11,11,87,1
36,GP,M,15,U,T,mother,1,3,0,no,yes,4,0,14,14,14,100,1
37,GP,M,16,R,A,mother,2,3,0,no,yes,5,4,13,13,13,87,1
38,GP,F,15,R,T,mother,1,3,0,no,yes,5,2,11,12,12,93,1
39,GP,F,15,R,T,mother,1,1,0,no,no,2,8,14,13,12,75,0
40,GP,F,16,U,T,mother,2,2,0,no,yes,3,16,11,11,10,50,0
41,GP,M,15,U,T,other,1,1,0,no,yes,5,8,10,11,11,75,0
42,GP,M,15,U,T,father,1,2,0,no,yes,5,0,14,15,15,100,1
43,GP,M,15,U,T,father,1,1,0,no,yes,1,0,9,10,10,100,1
44,GP,F,16,U,T,father,2,2,1,no,yes,5,14,10,11,11,56,0
45,GP,F,15,U,A,mother,1,2,0,yes,yes,5,4,10,11,11,87,1
46,GP,F,16,U,A,mother,1,2,0,no,yes,3,6,13,12,13,81,1
47,GP,M,16,U,T,mother,1,4,0,no,yes,2,2,17,17,17,93,1
